Run_Start	Date	Contracts	Cumulative_PnL_Today	Cumulative_PnL	Peak_PnL	Trailing_Floor
2021-07-09	2021-09-09	1	-100.5	674.5	776.5	-723.5
2021-07-09	2021-09-10	1	-45.5	629.0	776.5	-723.5
2021-07-09	2021-09-13	1	145.5	774.5	799.5	-700.5
2021-07-09	2021-09-14	1	-108.5	666.0	799.5	-700.5
2021-07-09	2021-09-15	1	120.5	786.5	799.5	-700.5
2021-07-09	2021-09-16	1	-44.0	742.5	799.5	-700.5
2021-07-09	2021-09-17	1	-140.0	602.5	799.5	-700.5
2021-07-09	2021-09-20	1	56.0	658.5	799.5	-700.5
2021-07-09	2021-09-21	1	3.0	661.5	896.0	-604.0
2021-07-09	2021-09-22	1	137.5	799.0	910.0	-590.0
2021-07-09	2021-09-23	1	116.0	915.0	947.0	-553.0
2021-07-09	2021-09-24	1	12.5	927.5	947.0	-553.0
2021-07-09	2021-09-27	1	34.5	962.0	1058.5	-441.5
2021-07-09	2021-09-28	1	-316.5	645.5	1058.5	-441.5
2021-07-09	2021-09-29	1	141.0	786.5	1058.5	-441.5
2021-07-09	2021-09-30	1	-283.0	503.5	1058.5	-441.5
2021-07-09	2021-10-01	1	303.0	806.5	1058.5	-441.5
2021-07-09	2021-10-04	1	-35.5	771.0	1058.5	-441.5
2021-07-09	2021-10-05	1	160.5	931.5	1058.5	-441.5
2021-07-09	2021-10-06	1	82.5	1014.0	1058.5	-441.5
2021-07-09	2021-10-07	1	175.0	1189.0	1322.0	-178.0
2021-07-09	2021-10-08	1	-124.0	1065.0	1322.0	-178.0
2021-07-09	2021-10-11	1	116.5	1181.5	1322.0	-178.0
2021-07-09	2021-10-12	1	-73.5	1108.0	1322.0	-178.0
2021-07-09	2021-10-13	1	167.0	1275.0	1322.0	-178.0
2021-07-09	2021-10-14	1	159.5	1434.5	1482.0	-18.0
2021-07-09	2021-10-15	1	65.5	1500.0	1482.0	-18.0
2021-07-12	2021-07-12	1	60.0	60.0	60.0	-1440.0
2021-07-12	2021-07-13	1	-127.0	-67.0	106.0	-1394.0
2021-07-12	2021-07-14	1	-135.5	-202.5	106.0	-1394.0
2021-07-12	2021-07-15	1	-0.5	-203.0	106.0	-1394.0
2021-07-12	2021-07-16	1	-71.5	-274.5	106.0	-1394.0
2021-07-12	2021-07-19	1	-216.0	-490.5	106.0	-1394.0
2021-07-12	2021-07-20	1	-132.0	-622.5	106.0	-1394.0
2021-07-12	2021-07-21	1	194.0	-428.5	106.0	-1394.0
2021-07-12	2021-07-22	1	88.5	-340.0	106.0	-1394.0
2021-07-12	2021-07-23	1	71.0	-269.0	106.0	-1394.0
2021-07-12	2021-07-26	1	3.0	-266.0	106.0	-1394.0
2021-07-12	2021-07-27	1	89.5	-176.5	106.0	-1394.0
2021-07-12	2021-07-28	1	82.0	-94.5	106.0	-1394.0
2021-07-12	2021-07-29	1	63.5	-31.0	106.0	-1394.0
2021-07-12	2021-07-30	1	227.5	196.5	196.5	-1303.5
2021-07-12	2021-08-02	1	-85.5	111.0	258.0	-1242.0
2021-07-12	2021-08-03	1	163.0	274.0	274.0	-1226.0
2021-07-12	2021-08-04	1	1.5	275.5	275.5	-1224.5
2021-07-12	2021-08-05	1	21.0	296.5	328.5	-1171.5
2021-07-12	2021-08-06	1	-97.0	199.5	328.5	-1171.5
2021-07-12	2021-08-09	1	154.5	354.0	354.0	-1146.0
2021-07-12	2021-08-10	1	-55.0	299.0	354.0	-1146.0
2021-07-12	2021-08-11	1	167.5	466.5	466.5	-1033.5
2021-07-12	2021-08-12	1	-58.0	408.5	475.0	-1025.0
2021-07-12	2021-08-13	1	-32.0	376.5	475.0	-1025.0
2021-07-12	2021-08-16	1	8.0	384.5	475.0	-1025.0
2021-07-12	2021-08-17	1	7.5	392.0	475.0	-1025.0
2021-07-12	2021-08-18	1	-15.0	377.0	475.0	-1025.0
2021-07-12	2021-08-19	1	-13.0	364.0	475.0	-1025.0
2021-07-12	2021-08-20	1	-27.5	336.5	475.0	-1025.0
2021-07-12	2021-08-23	1	91.0	427.5	475.0	-1025.0
