Date	P.L
20.03.2024	210.5
21.03.2024	-54
22.03.2024	66
25.03.2024	28
26.03.2024	-19.5
27.03.2024	238.5
28.03.2024	-137.5
01.04.2024	197.5
02.04.2024	-85.5
03.04.2024	-123
04.04.2024	34.5
05.04.2024	55.5
08.04.2024	51
09.04.2024	219
10.04.2024	-294
11.04.2024	391
12.04.2024	-459.5
15.04.2024	-106.5
16.04.2024	-261
17.04.2024	27.5
18.04.2024	-201
19.04.2024	122
22.04.2024	298
23.04.2024	296
24.04.2024	13
25.04.2024	101.5
26.04.2024	-79.5
29.04.2024	221.5
30.04.2024	-323.5
01.05.2024	24.5
02.05.2024	174.5
03.05.2024	305
06.05.2024	127.5
07.05.2024	-141
08.05.2024	115.5
09.05.2024	-4.5
10.05.2024	74
13.05.2024	-74
14.05.2024	52
15.05.2024	154.5
16.05.2024	-118.5
17.05.2024	21
20.05.2024	96
21.05.2024	56.5
22.05.2024	34.5
23.05.2024	-63
24.05.2024	-142.5
27.05.2024	91
28.05.2024	146.5
29.05.2024	-338
30.05.2024	-121
31.05.2024	353
03.06.2024	397.5
04.06.2024	227
05.06.2024	282
06.06.2024	-223.5
07.06.2024	133
10.06.2024	-287.5
11.06.2024	113
12.06.2024	-31.5
13.06.2024	4.5
14.06.2024	148
17.06.2024	60
18.06.2024	485.5
19.06.2024	-9.5
20.06.2024	62.5
21.06.2024	-122.5
24.06.2024	-186.5
25.06.2024	227
26.06.2024	186
27.06.2024	308.5
28.06.2024	120.5
01.07.2024	242
02.07.2024	362
03.07.2024	245
04.07.2024	-77
05.07.2024	-50
08.07.2024	-7
09.07.2024	38.5
10.07.2024	184.5
11.07.2024	-83
12.07.2024	306.5
15.07.2024	-187.5
16.07.2024	-32.5
17.07.2024	-222.5
18.07.2024	-15
19.07.2024	-78
