Date	Quantity of positions	Volume	P.L	Average P.L	Comission	Gross	Net	Open	Hi	Low	Close
17.11.2020	6	6.00	-151.00	-25.17	0.00	8 091.50	8 091.50	8 242.50	8 242.50	8 091.50	8 091.50
18.11.2020	8	8.00	39.00	4.88	0.00	8 130.50	8 130.50	8 091.50	8 164.50	8 054.00	8 130.50
19.11.2020	6	6.00	144.50	24.08	0.00	8 275.00	8 275.00	8 130.50	8 275.00	8 053.00	8 275.00
20.11.2020	5	5.00	57.50	11.50	0.00	8 332.50	8 332.50	8 275.00	8 359.50	8 275.00	8 332.50
23.11.2020	3	3.00	-42.50	-14.17	0.00	8 290.00	8 290.00	8 332.50	8 332.50	8 279.00	8 290.00
24.11.2020	5	5.00	70.50	14.10	0.00	8 360.50	8 360.50	8 290.00	8 360.50	8 221.50	8 360.50
25.11.2020	4	4.00	21.00	5.25	0.00	8 381.50	8 381.50	8 360.50	8 381.50	8 310.00	8 381.50
26.11.2020	6	6.00	-82.00	-13.67	0.00	8 299.50	8 299.50	8 381.50	8 417.00	8 299.50	8 299.50
27.11.2020	5	5.00	-34.00	-6.80	0.00	8 265.50	8 265.50	8 299.50	8 303.00	8 264.50	8 265.50
30.11.2020	7	7.00	257.50	36.79	0.00	8 523.00	8 523.00	8 265.50	8 523.00	8 265.50	8 523.00
01.12.2020	7	7.00	71.50	10.21	0.00	8 594.50	8 594.50	8 523.00	8 636.00	8 498.00	8 594.50
02.12.2020	4	4.00	82.50	20.63	0.00	8 677.00	8 677.00	8 594.50	8 677.00	8 554.00	8 677.00
03.12.2020	4	4.00	58.50	14.63	0.00	8 735.50	8 735.50	8 677.00	8 735.50	8 677.00	8 735.50
04.12.2020	6	6.00	17.50	2.92	0.00	8 753.00	8 753.00	8 735.50	8 776.00	8 712.50	8 753.00
07.12.2020	5	5.00	1.50	0.30	0.00	8 754.50	8 754.50	8 753.00	8 790.50	8 714.00	8 754.50
08.12.2020	5	5.00	141.50	28.30	0.00	8 896.00	8 896.00	8 754.50	8 896.00	8 722.00	8 896.00
09.12.2020	2	2.00	-59.00	-29.50	0.00	8 837.00	8 837.00	8 896.00	8 896.00	8 837.00	8 837.00
10.12.2020	5	5.00	-98.00	-19.60	0.00	8 739.00	8 739.00	8 837.00	8 855.50	8 739.00	8 739.00
11.12.2020	5	5.00	-75.50	-15.10	0.00	8 663.50	8 663.50	8 739.00	8 739.00	8 560.50	8 663.50
14.12.2020	6	6.00	122.00	20.33	0.00	8 785.50	8 785.50	8 663.50	8 848.50	8 626.50	8 785.50
15.12.2020	5	5.00	134.00	26.80	0.00	8 919.50	8 919.50	8 785.50	8 919.50	8 728.00	8 919.50
16.12.2020	6	6.00	119.50	19.92	0.00	9 039.00	9 039.00	8 919.50	9 039.00	8 919.50	9 039.00
17.12.2020	7	7.00	40.00	5.71	0.00	9 079.00	9 079.00	9 039.00	9 105.50	9 020.50	9 079.00
18.12.2020	5	5.00	-17.00	-3.40	0.00	9 062.00	9 062.00	9 079.00	9 125.00	9 062.00	9 062.00
21.12.2020	2	2.00	196.50	98.25	0.00	9 258.50	9 258.50	9 062.00	9 258.50	9 062.00	9 258.50
22.12.2020	9	9.00	-32.00	-3.56	0.00	9 226.50	9 226.50	9 258.50	9 272.50	9 184.00	9 226.50
23.12.2020	8	8.00	-22.00	-2.75	0.00	9 204.50	9 204.50	9 226.50	9 271.00	9 200.00	9 204.50
24.12.2020	4	4.00	16.00	4.00	0.00	9 220.50	9 220.50	9 204.50	9 220.50	9 146.50	9 220.50
28.12.2020	7	7.00	118.50	16.93	0.00	9 339.00	9 339.00	9 220.50	9 339.00	9 173.00	9 339.00
29.12.2020	9	9.00	-187.50	-20.83	0.00	9 151.50	9 151.50	9 339.00	9 339.00	9 151.50	9 151.50
30.12.2020	4	4.00	35.50	8.88	0.00	9 187.00	9 187.00	9 151.50	9 225.50	9 151.50	9 187.00
31.12.2020	5	5.00	-8.50	-1.70	0.00	9 178.50	9 178.50	9 187.00	9 187.00	9 144.50	9 178.50
04.01.2021	3	3.00	183.50	61.17	0.00	9 362.00	9 362.00	9 178.50	9 362.00	9 178.50	9 362.00
05.01.2021	4	4.00	4.00	1.00	0.00	9 366.00	9 366.00	9 362.00	9 463.50	9 331.00	9 366.00
06.01.2021	6	6.00	-234.00	-39.00	0.00	9 132.00	9 132.00	9 366.00	9 366.00	9 132.00	9 132.00
07.01.2021	8	8.00	59.00	7.38	0.00	9 191.00	9 191.00	9 132.00	9 278.00	9 128.00	9 191.00
08.01.2021	6	6.00	-22.50	-3.75	0.00	9 168.50	9 168.50	9 191.00	9 278.00	9 073.50	9 168.50
11.01.2021	4	4.00	-167.50	-41.88	0.00	9 001.00	9 001.00	9 168.50	9 168.50	9 001.00	9 001.00
12.01.2021	4	4.00	-71.50	-17.88	0.00	8 929.50	8 929.50	9 001.00	9 055.00	8 924.50	8 929.50
13.01.2021	7	7.00	-24.50	-3.50	0.00	8 905.00	8 905.00	8 929.50	8 951.00	8 868.50	8 905.00
14.01.2021	6	6.00	-75.50	-12.58	0.00	8 829.50	8 829.50	8 905.00	8 948.50	8 829.50	8 829.50
15.01.2021	7	7.00	-111.50	-15.93	0.00	8 718.00	8 718.00	8 829.50	8 835.00	8 718.00	8 718.00
18.01.2021	6	6.00	6.00	1.00	0.00	8 724.00	8 724.00	8 718.00	8 750.00	8 672.00	8 724.00
19.01.2021	7	7.00	100.50	14.36	0.00	8 824.50	8 824.50	8 724.00	8 839.50	8 724.00	8 824.50
20.01.2021	3	3.00	113.00	37.67	0.00	8 937.50	8 937.50	8 824.50	8 937.50	8 824.50	8 937.50
21.01.2021	6	6.00	163.50	27.25	0.00	9 101.00	9 101.00	8 937.50	9 101.00	8 937.50	9 101.00
22.01.2021	7	7.00	-155.50	-22.21	0.00	8 945.50	8 945.50	9 101.00	9 101.00	8 924.50	8 945.50
25.01.2021	6	6.00	167.00	27.83	0.00	9 112.50	9 112.50	8 945.50	9 112.50	8 945.50	9 112.50
26.01.2021	6	6.00	58.00	9.67	0.00	9 170.50	9 170.50	9 112.50	9 197.00	9 067.00	9 170.50
27.01.2021	5	5.00	-327.00	-65.40	0.00	8 843.50	8 843.50	9 170.50	9 170.50	8 843.50	8 843.50
28.01.2021	8	8.00	180.00	22.50	0.00	9 023.50	9 023.50	8 843.50	9 104.50	8 716.00	9 023.50
29.01.2021	7	7.00	-474.00	-67.71	0.00	8 549.50	8 549.50	9 023.50	9 023.50	8 549.50	8 549.50
01.02.2021	6	6.00	473.00	78.83	0.00	9 022.50	9 022.50	8 549.50	9 052.00	8 549.50	9 022.50
02.02.2021	7	7.00	253.50	36.21	0.00	9 276.00	9 276.00	9 022.50	9 276.00	9 022.50	9 276.00
03.02.2021	5	5.00	-19.50	-3.90	0.00	9 256.50	9 256.50	9 276.00	9 377.00	9 256.50	9 256.50
04.02.2021	6	6.00	49.00	8.17	0.00	9 305.50	9 305.50	9 256.50	9 305.50	9 173.50	9 305.50
05.02.2021	5	5.00	215.00	43.00	0.00	9 520.50	9 520.50	9 305.50	9 520.50	9 299.50	9 520.50
08.02.2021	6	6.00	-152.00	-25.33	0.00	9 368.50	9 368.50	9 520.50	9 520.50	9 368.50	9 368.50
09.02.2021	5	5.00	61.50	12.30	0.00	9 430.00	9 430.00	9 368.50	9 430.00	9 296.50	9 430.00
10.02.2021	5	5.00	195.00	39.00	0.00	9 625.00	9 625.00	9 430.00	9 625.00	9 430.00	9 625.00
11.02.2021	5	5.00	-71.00	-14.20	0.00	9 554.00	9 554.00	9 625.00	9 695.00	9 554.00	9 554.00
12.02.2021	5	5.00	-42.50	-8.50	0.00	9 511.50	9 511.50	9 554.00	9 554.00	9 438.00	9 511.50
15.02.2021	4	4.00	30.50	7.63	0.00	9 542.00	9 542.00	9 511.50	9 562.00	9 511.50	9 542.00
16.02.2021	6	6.00	-69.00	-11.50	0.00	9 473.00	9 473.00	9 542.00	9 605.00	9 473.00	9 473.00
17.02.2021	5	5.00	-145.00	-29.00	0.00	9 328.00	9 328.00	9 473.00	9 546.50	9 325.50	9 328.00
18.02.2021	8	8.00	-153.50	-19.19	0.00	9 174.50	9 174.50	9 328.00	9 328.00	9 028.50	9 174.50
19.02.2021	7	7.00	75.50	10.79	0.00	9 250.00	9 250.00	9 174.50	9 345.00	9 148.00	9 250.00
22.02.2021	5	5.00	-183.50	-36.70	0.00	9 066.50	9 066.50	9 250.00	9 250.00	8 976.50	9 066.50
23.02.2021	4	4.00	203.00	50.75	0.00	9 269.50	9 269.50	9 066.50	9 269.50	9 044.50	9 269.50
