Ticket	Entry_time	Exit_time	MAE	MFE	PNL	Unnamed: 6
5356	2023-04-25 02:31:40	2023.04.25 03:23:40	-18.0	11.0	-18.0	9.0
5359	2023-04-25 04:28:40	2023.04.25 04:40:40	-18.5	0.0	-18.5	9.25
5365	2023-04-25 08:46:40	2023.04.25 10:03:20	-23.5	31.5	-23.5	11.75
4300	2023-04-25 13:20:40	2023.04.25 13:40:40	-25.5	0.5	-25.5	12.75
5368	2023-04-26 02:38:40	2023.04.26 03:03:40	-27.0	3.0	-27.0	13.5
5370	2023-04-26 08:46:40	2023.04.26 09:20:40	-32.5	17.0	-32.5	16.25
4303	2023-04-26 13:15:40	2023.04.26 14:30:00	-14.5	129.5	110.5	19.0
5372	2023-04-27 02:53:40	2023.04.27 03:04:20	-16.5	5.0	-16.5	8.25
5376	2023-04-27 04:35:40	2023.04.27 07:30:00	-8.5	41.5	39.5	11.25
5378	2023-04-27 08:30:40	2023.04.27 10:00:00	-5.5	39.5	33.5	9.5
5381	2023-04-28 04:35:40	2023.04.28 06:25:20	-30.5	32.5	-30.5	15.25
5383	2023-04-28 07:00:40	2023.04.28 07:30:00	-7.0	23.0	15.5	6.75
5385	2023-04-28 08:31:40	2023.04.28 09:33:40	-22.5	42.5	-22.5	11.25
4310	2023-04-28 20:37:40	2023.04.28 21:02:40	-61.0	7.5	-61.0	30.5
5389	2023-05-01 03:43:40	2023.05.01 06:00:00	-16.5	60.0	46.5	17.75
5391	2023-05-01 07:31:40	2023.05.01 07:34:20	-9.5	0.0	-9.5	4.75
5393	2023-05-01 08:25:40	2023.05.01 09:03:20	-15.0	25.0	-15.0	7.5
4313	2023-05-01 21:15:40	2023.05.01 23:30:00	-3.0	103.0	65.5	26.5
5396	2023-05-02 03:02:20	2023.05.02 03:20:40	-10.0	19.5	-10.0	5.0
5398	2023-05-02 04:37:40	2023.05.02 16:41:20	-60.5	73.5	-60.5	30.25
4315	2023-05-02 13:03:40	2023.05.02 17:30:00	-27.5	209.5	182.5	22.0
4318	2023-05-02 21:14:40	2023.05.02 23:30:00	-80.0	26.5	12.0	40.5
5400	2023-05-03 02:08:40	2023.05.03 03:00:00	-9.0	26.5	24.0	7.75
5403	2023-05-03 05:03:40	2023.05.03 10:30:00	-11.5	51.5	27.5	11.0
4320	2023-05-03 10:52:40	2023.05.03 11:43:40	-39.5	12.0	-39.5	19.75
4323	2023-05-03 21:00:20	2023.05.03 21:00:40	-58.5	11.0	-58.5	29.25
5405	2023-05-04 04:16:40	2023.05.04 05:00:00	-7.5	36.5	31.0	8.25
5407	2023-05-04 07:32:40	2023.05.04 08:30:00	2.0	36.0	25.5	11.25
4327	2023-05-04 21:06:40	2023.05.04 23:30:00	-27.0	129.5	95.5	40.25
5409	2023-05-05 03:44:40	2023.05.05 10:09:40	-31.0	36.0	-31.0	15.5
4330	2023-05-05 05:29:40	2023.05.05 12:10:40	-26.0	49.5	-26.0	13.0
5411	2023-05-08 02:08:40	2023.05.08 02:38:40	-26.0	9.5	-26.0	13.0
5414	2023-05-08 04:30:40	2023.05.08 05:30:00	-9.5	26.5	23.0	7.75
5417	2023-05-08 08:13:40	2023.05.08 08:52:40	-10.0	13.0	-10.0	5.0
4338	2023-05-08 21:03:40	2023.05.08 21:42:40	-31.0	100.0	-31.0	15.5
5419	2023-05-09 02:10:20	2023.05.09 02:18:20	-13.5	2.5	-13.5	6.75
5422	2023-05-09 03:31:40	2023.05.09 03:41:20	-11.5	4.0	-11.5	5.75
5424	2023-05-09 04:27:40	2023.05.09 09:56:40	-24.0	16.0	-24.0	12.0
5426	2023-05-10 02:42:40	2023.05.10 05:50:40	-13.0	22.5	-13.0	6.5
5428	2023-05-10 07:56:40	2023.05.10 08:09:40	-11.5	1.5	-11.5	5.75
4344	2023-05-10 15:02:40	2023.05.10 15:30:40	-25.5	1.5	-25.5	12.75
5431	2023-05-11 02:28:40	2023.05.11 03:00:00	-9.0	24.5	15.0	4.75
5433	2023-05-11 05:14:40	2023.05.11 05:28:40	-17.5	1.5	-17.5	8.75
5436	2023-05-11 07:35:20	2023.05.11 08:10:40	-15.5	0.5	-15.5	7.75
4349	2023-05-11 13:09:40	2023.05.11 14:30:00	-7.0	92.5	55.5	11.5
