Ticket	Entry_time	Exit_time	MAE	MFE	PNL	
14820	2021.03.08 17:30:40	2021.03.08 18:50:40	-344	34	-344	172
14824	2021.03.09 02:12:40	2021.03.09 02:28:40	-48.5	7.5	-48.5	24.25
14826	2021.03.09 03:02:40	2021.03.09 03:34:40	-65	40	-65	32.5
14828	2021.03.09 04:05:40	2021.03.09 20:30:00	-9.5	938.5	914	45.25
14843	2021.03.11 03:47:40	2021.03.11 23:30:00	10	704	583	43
14845	2021.03.12 02:06:40	2021.03.12 03:55:40	-34.5	18	-34.5	17.25
14854	2021.03.12 18:30:40	2021.03.12 23:30:00	-57.5	203	181	74.75
14862	2021.03.15 08:35:40	2021.03.15 09:11:40	-72.5	21.5	-72.5	36.25
14867	2021.03.16 02:45:40	2021.03.16 16:30:00	-4.5	380	380	16.25
14876	2021.03.17 03:00:40	2021.03.17 03:26:40	-47	4.5	-47	23.5
14880	2021.03.17 07:46:40	2021.03.17 11:49:40	-43	30	-43	21.5
14885	2021.03.17 18:19:40	2021.03.18 15:10:20	-117.5	528.5	-117.5	58.75
14887	2021.03.18 18:04:40	2021.03.18 18:53:40	-94	67.5	-94	47
14890	2021.03.19 02:02:40	2021.03.19 03:25:40	-30	48.5	-30	15
14892	2021.03.19 03:41:40	2021.03.19 04:20:40	-78.5	12.5	-78.5	39.25
14895	2021.03.19 05:19:40	2021.03.19 08:01:40	-38.5	71.5	-38.5	19.25
14897	2021.03.19 08:48:40	2021.03.19 16:04:40	-125.5	244	-125.5	62.75
14899	2021.03.19 17:54:40	2021.03.25 03:36:40	-189.5	639.5	-189.5	94.75
14901	2021.03.25 04:04:40	2021.03.25 13:52:20	-100.5	114.5	-100.5	50.25
14906	2021.03.25 17:30:40	2021.03.29 23:30:00	-91	655	595.5	65.75
14909	2021.03.30 02:53:40	2021.03.30 03:03:40	-27	10	-27	13.5
14919	2021.03.30 17:43:40	2021.03.30 23:30:00	-53.5	128	81	75.75
14926	2021.03.31 08:36:40	2021.03.31 08:52:20	-35	2.5	-35	17.5
14928	2021.03.31 14:38:40	2021.03.31 18:00:00	-22.5	336	295	14.5
14930	2021.03.31 18:55:20	2021.03.31 21:40:40	-57.5	64	-57.5	28.75
14933	2021.04.01 03:36:40	2021.04.01 04:45:20	-39	6	-39	19.5
14935	2021.04.01 05:01:40	2021.04.01 23:30:00	-26.5	407	393.5	19.75
14939	2021.04.02 05:18:40	2021.04.05 01:00:00	-16	88.5	-16	8
14941	2021.04.05 02:19:40	2021.04.05 09:02:40	-36	46	-36	18
14943	2021.04.05 14:49:40	2021.04.05 23:30:00	-30	465	391.5	23.5
14945	2021.04.06 03:00:40	2021.04.06 03:09:40	-19	2.5	-19	9.5
14948	2021.04.06 04:00:40	2021.04.06 04:08:40	-18.5	3.5	-18.5	9.25
14952	2021.04.06 05:46:40	2021.04.06 06:27:40	-17.5	11	-17.5	8.75
14955	2021.04.06 08:52:40	2021.04.06 09:13:40	-18	25	-18	9
14957	2021.04.06 17:54:40	2021.04.06 20:19:40	-80	84.5	-80	40
14962	2021.04.07 03:36:20	2021.04.07 04:34:40	-34.5	4.5	-34.5	17.25
14965	2021.04.07 08:25:40	2021.04.07 12:35:20	-12	86	-12	6
14969	2021.04.07 18:02:40	2021.04.07 18:30:40	-58.5	21	-58.5	29.25
14971	2021.04.07 20:35:40	2021.04.07 23:30:00	-32	103.5	59.5	24.75
14974	2021.04.08 02:33:40	2021.04.08 09:00:00	6.5	216	206	10
14985	2021.04.09 18:33:40	2021.04.09 23:30:00	-10.5	201.5	143	36.25
14989	2021.04.12 03:34:40	2021.04.12 16:48:40	-41	62.5	-41	20.5
14992	2021.04.12 18:00:40	2021.04.12 23:30:00	-55	94	76.5	49.75
14995	2021.04.13 02:30:40	2021.04.13 03:05:40	-13	22.5	-13	6.5
14997	2021.04.13 04:01:40	2021.04.13 06:55:40	-29.5	23	-29.5	14.75
15003	2021.04.13 14:36:40	2021.04.13 23:30:00	-16	378	349	30
15007	2021.04.14 03:41:40	2021.04.14 05:09:40	-14.5	27.5	-14.5	7.25
15010	2021.04.14 08:55:40	2021.04.14 09:13:40	-16.5	6	-16.5	8.25
15020	2021.04.15 03:02:20	2021.04.15 04:40:40	-36.5	29	-36.5	18.25
15023	2021.04.15 08:08:40	2021.04.15 14:00:00	2	157	153	7.5
15025	2021.04.15 14:49:40	2021.04.15 23:30:00	-6.5	263.5	207.5	24
15027	2021.04.16 02:15:40	2021.04.16 03:10:20	-14.5	16	-14.5	7.25
15033	2021.04.16 07:08:20	2021.04.16 10:00:40	-16	31.5	-16	8
15039	2021.04.19 02:04:40	2021.04.19 02:53:40	-11.5	16	-11.5	5.75
15041	2021.04.19 03:54:40	2021.04.19 13:44:40	-33	96	-33	16.5
15046	2021.04.19 18:15:20	2021.04.19 18:45:20	-167	9	-167	83.5
15048	2021.04.19 20:02:40	2021.04.19 23:30:00	-24.5	90	68	41.75
15050	2021.04.20 04:17:40	2021.04.20 09:44:40	-45.5	9.5	-45.5	22.75
15052	2021.04.20 14:35:40	2021.04.20 17:41:40	-43.5	145	-43.5	21.75
15057	2021.04.20 20:54:20	2021.04.20 21:58:40	-102.5	20	-102.5	51.25
15060	2021.04.21 03:00:20	2021.04.21 03:07:40	-27	0.5	-27	13.5
15065	2021.04.21 08:00:20	2021.04.21 08:05:40	-21.5	2.5	-21.5	10.75
15069	2021.04.21 18:12:40	2021.04.21 23:30:00	1	220	172.5	48.25
15071	2021.04.22 02:11:40	2021.04.22 02:40:40	-19.5	6	-19.5	9.75
15073	2021.04.22 03:21:40	2021.04.22 16:40:40	-18	102	-18	9
15075	2021.04.22 17:27:40	2021.04.22 20:10:40	-113	65.5	-113	56.5
15078	2021.04.23 03:16:40	2021.04.23 04:31:40	-33	21	-33	16.5
15087	2021.04.23 20:37:40	2021.04.23 21:19:40	-33.5	10.5	-33.5	16.75
15091	2021.04.26 03:22:40	2021.04.26 10:46:40	-29	46	-29	14.5
15094	2021.04.26 14:44:40	2021.04.26 23:30:00	-5	311	238.5	18.25
15096	2021.04.27 02:35:40	2021.04.27 12:51:40	-19.5	53	-19.5	9.75
15100	2021.04.27 18:52:40	2021.04.27 23:30:00	-49.5	43.5	-25	51.5
15104	2021.04.28 04:08:40	2021.04.28 08:49:40	-12	34.5	-12	6
15106	2021.04.28 14:03:40	2021.04.28 14:34:40	-22	16	-22	11
15110	2021.04.28 18:38:40	2021.04.28 18:45:40	-66	1	-66	33
15112	2021.04.28 23:05:40	2021.04.28 23:30:00	-21.5	19	1.5	49.25
15114	2021.04.29 02:43:40	2021.04.29 16:00:00	-1	196	178.5	7.5
15120	2021.04.30 02:28:40	2021.04.30 02:35:40	-15.5	6.5	-15.5	7.75
15127	2021.04.30 08:04:20	2021.04.30 08:14:40	-22	1.5	-22	11
15132	2021.04.30 18:54:40	2021.04.30 20:46:40	-98	16	-98	49
15134	2021.04.30 23:00:40	2021.04.30 23:30:00	-19	4.5	-10	45.75
15136	2021.05.03 03:03:40	2021.05.03 04:57:40	-14.5	35.5	-14.5	7.25
15141	2021.05.03 17:07:40	2021.05.03 17:53:40	-130.5	62.5	-130.5	65.25
15145	2021.05.03 20:00:40	2021.05.03 23:30:00	-47	47	-25.5	25
15152	2021.05.04 07:31:40	2021.05.04 10:36:40	-11.5	71	-11.5	5.75
15157	2021.05.04 20:07:40	2021.05.04 23:30:00	-41	219.5	159.5	46.75
15159	2021.05.05 03:01:40	2021.05.05 22:10:20	-32	275.5	-32	16
15161	2021.05.06 02:08:40	2021.05.06 05:52:40	-26.5	89	-26.5	13.25
15163	2021.05.06 08:02:40	2021.05.06 15:31:40	-21	175.5	-21	10.5
15166	2021.05.06 17:36:40	2021.05.06 23:30:00	-82.5	325.5	297	60
15168	2021.05.07 02:03:40	2021.05.07 02:33:40	-13.5	10	-13.5	6.75
15171	2021.05.07 07:32:40	2021.05.07 08:50:40	-22.5	16	-22.5	11.25
15174	2021.05.07 18:30:40	2021.05.07 19:28:40	-107.5	2	-107.5	53.75
15180	2021.05.10 04:42:40	2021.05.10 06:17:40	-26.5	14.5	-26.5	13.25
15182	2021.05.10 07:38:40	2021.05.10 07:52:40	-20.5	3.5	-20.5	10.25
15193	2021.05.11 03:00:40	2021.05.11 03:18:40	-32	12.5	-32	16
15199	2021.05.11 05:30:40	2021.05.11 10:31:40	-57	137	-57	28.5
15201	2021.05.11 14:00:40	2021.05.11 14:26:40	-67	2	-67	33.5
15204	2021.05.11 18:22:40	2021.05.11 23:30:00	-62.5	193.5	76	114.25
15207	2021.05.12 02:37:40	2021.05.12 03:39:40	-47	45.5	-47	23.5
15210	2021.05.12 05:27:20	2021.05.12 06:02:40	-71	5.5	-71	35.5
15213	2021.05.12 07:51:40	2021.05.12 15:30:40	-109.5	197	-109.5	54.75
15219	2021.05.13 05:30:40	2021.05.13 08:18:40	-32.5	25	-32.5	16.25
15228	2021.05.14 07:12:40	2021.05.14 07:38:40	-28	5	-28	14
15230	2021.05.14 08:14:40	2021.05.14 09:03:20	-37.5	25	-37.5	18.75
15232	2021.05.14 14:04:40	2021.05.14 14:25:20	-36.5	18	-36.5	18.25
15238	2021.05.17 04:39:40	2021.05.17 05:30:40	-96	5.5	-96	48
15240	2021.05.17 07:16:40	2021.05.17 10:45:40	-31.5	83	-31.5	15.75
15244	2021.05.17 17:38:40	2021.05.17 18:51:40	-161.5	20.5	-161.5	80.75
15248	2021.05.18 02:27:40	2021.05.18 21:34:40	-43.5	236.5	-43.5	21.75
15257	2021.05.19 08:39:40	2021.05.19 09:35:40	-33.5	14.5	-33.5	16.75
15260	2021.05.19 20:01:40	2021.05.19 21:04:40	-62.5	51.5	-62.5	31.25
15262	2021.05.20 03:15:40	2021.05.20 11:51:40	-57	101	-57	28.5
15268	2021.05.21 07:23:40	2021.05.21 16:45:40	-24.5	124	-24.5	12.25
15274	2021.05.21 20:31:40	2021.05.21 22:56:40	-85.5	43.5	-85.5	42.75
15277	2021.05.24 02:00:40	2021.05.24 17:00:00	-36.5	409	401	18.75
15282	2021.05.25 03:41:40	2021.05.25 18:19:20	-47	164.5	-47	23.5
15285	2021.05.25 20:24:40	2021.05.25 21:03:40	-56	10	-56	28
15287	2021.05.26 03:02:40	2021.05.26 09:05:40	-18	44.5	-18	9
15289	2021.05.26 17:53:20	2021.05.26 23:30:00	-66	32	-10	46.75
15292	2021.05.27 02:53:40	2021.05.27 03:42:40	-22.5	18	-22.5	11.25
15297	2021.05.27 05:52:40	2021.05.27 06:07:40	-16.5	6.5	-16.5	8.25
15300	2021.05.27 08:45:40	2021.05.27 09:48:40	-32.5	20.5	-32.5	16.25
15302	2021.05.27 17:17:40	2021.05.27 23:30:00	-97	51	-30	51.25
15304	2021.05.28 02:30:40	2021.05.28 08:30:40	-20	46.5	-20	10
15307	2021.05.28 18:32:40	2021.05.28 22:54:40	-76	62	-76	38
15310	2021.05.31 02:04:40	2021.05.31 02:43:40	-16	6.5	-16	8
15317	2021.05.31 08:03:40	2021.05.31 09:42:20	-10.5	9.5	-10.5	5.25
15322	2021.05.31 18:47:40	2021.05.31 19:28:40	-18.5	7.5	-18.5	9.25
15325	2021.06.01 05:04:40	2021.06.01 17:14:40	-34.5	167.5	-34.5	17.25
15331	2021.06.02 03:03:40	2021.06.02 10:30:40	-31.5	44.5	-31.5	15.75
15336	2021.06.03 02:47:40	2021.06.03 09:38:40	-19	51	-19	9.5
15340	2021.06.03 17:59:40	2021.06.03 23:30:00	-105	79.5	-100.5	107.5
15342	2021.06.04 02:00:40	2021.06.04 02:13:40	-22	2.5	-22	11
15346	2021.06.04 04:43:40	2021.06.04 21:00:00	-23	548	541.5	27
15349	2021.06.07 02:11:40	2021.06.07 02:49:00	-16.5	3	-16.5	8.25
15355	2021.06.07 07:22:40	2021.06.07 07:27:20	-8.5	3.5	-8.5	4.25
15360	2021.06.07 14:00:40	2021.06.07 23:30:00	-21	178	173.5	12.5
15362	2021.06.08 02:03:40	2021.06.08 10:04:40	-13	94	-13	6.5
15370	2021.06.09 03:23:40	2021.06.09 04:30:40	-22.5	19.5	-22.5	11.25
15372	2021.06.09 05:54:40	2021.06.09 08:03:20	-20.5	18	-20.5	10.25
15378	2021.06.10 02:26:20	2021.06.10 02:45:40	-14	6	-14	7
15380	2021.06.10 03:22:40	2021.06.10 09:35:40	-27.5	28	-27.5	13.75
15382	2021.06.10 14:10:40	2021.06.10 14:34:40	-33	19.5	-33	16.5
15386	2021.06.10 20:54:40	2021.06.10 23:30:00	-33	50.5	33	16.75
15389	2021.06.11 02:32:40	2021.06.11 09:24:40	-15.5	36.5	-15.5	7.75
15393	2021.06.11 20:30:40	2021.06.11 23:30:00	-6.5	71	61.5	14.75
15395	2021.06.14 02:39:40	2021.06.14 03:16:20	-18.5	16.5	-18.5	9.25
15398	2021.06.14 05:21:40	2021.06.14 09:03:40	-23.5	2.5	-23.5	11.75
15401	2021.06.14 18:17:40	2021.06.14 23:30:00	-20	201	175	45
15403	2021.06.15 03:05:20	2021.06.15 16:08:40	-18	80.5	-18	9
15407	2021.06.15 18:07:20	2021.06.15 18:28:40	-50	1	-50	25
15411	2021.06.15 20:35:40	2021.06.15 21:14:40	-34	15.5	-34	17
15414	2021.06.16 02:50:40	2021.06.16 04:00:40	-18.5	9	-18.5	9.25
15418	2021.06.16 08:00:40	2021.06.16 08:32:40	-15	5.5	-15	7.5
15423	2021.06.16 20:34:40	2021.06.16 20:49:40	-36.5	20.5	-36.5	18.25
15429	2021.06.17 04:32:40	2021.06.17 23:30:00	-44	619	561	47.75
15433	2021.06.18 04:34:40	2021.06.18 10:44:40	-23	40	-23	11.5
15439	2021.06.18 20:08:40	2021.06.18 20:51:20	-66	35.5	-66	33
15443	2021.06.21 03:02:40	2021.06.21 03:29:40	-28	9.5	-28	14
15448	2021.06.21 07:07:40	2021.06.21 16:35:40	-31	241.5	-31	15.5
15450	2021.06.21 17:37:40	2021.06.21 23:30:00	-3	129.5	113	66.25
15452	2021.06.22 02:00:40	2021.06.22 09:01:40	-15	36	-15	7.5
15457	2021.06.23 03:10:40	2021.06.23 10:27:40	-13	70.5	-13	6.5
15463	2021.06.23 18:41:20	2021.06.23 19:38:40	-62.5	17.5	-62.5	31.25
15465	2021.06.23 20:18:20	2021.06.23 23:30:00	-48.5	32	-6	46
15467	2021.06.24 04:03:40	2021.06.24 04:12:20	-12	4	-12	6
15472	2021.06.24 14:07:40	2021.06.24 15:54:20	-20	20.5	-20	10
15479	2021.06.25 04:00:40	2021.06.25 04:23:40	-17.5	7.5	-17.5	8.75
15481	2021.06.25 05:23:40	2021.06.25 16:56:40	-36.5	81.5	-36.5	18.25
15491	2021.06.28 05:34:40	2021.06.28 17:00:00	-1.5	232.5	219	6
15496	2021.06.29 02:13:40	2021.06.29 02:29:40	-5.5	5	-5.5	2.75
15501	2021.06.29 05:42:20	2021.06.29 11:04:40	-28	31	-28	14
15504	2021.06.29 17:46:40	2021.06.29 23:30:00	-54.5	129	126	42.75
15506	2021.06.30 02:05:40	2021.06.30 05:48:40	-11	34	-11	5.5
15508	2021.06.30 07:43:40	2021.06.30 08:25:40	-8	6.5	-8	4
15511	2021.06.30 14:02:40	2021.06.30 16:32:40	-27	45.5	-27	13.5
15513	2021.06.30 18:00:40	2021.06.30 19:30:40	-105.5	8.5	-105.5	52.75
15516	2021.07.01 02:58:40	2021.07.01 03:01:20	-9	1.5	-9	4.5
15519	2021.07.01 05:36:40	2021.07.01 05:53:40	-9.5	0	-9.5	4.75
15523	2021.07.01 08:52:20	2021.07.01 12:16:40	-32	93.5	-32	16
15525	2021.07.01 14:30:40	2021.07.01 18:11:40	-61.5	82	-61.5	30.75
15528	2021.07.01 20:34:40	2021.07.01 23:30:00	-10.5	74.5	41	28
15530	2021.07.02 03:07:40	2021.07.02 04:30:40	-14.5	15.5	-14.5	7.25
15533	2021.07.02 07:00:40	2021.07.02 08:18:00	-10	8	-10	5
15537	2021.07.02 18:12:40	2021.07.02 23:30:00	-39.5	161	124	23
15539	2021.07.05 02:32:40	2021.07.05 02:56:40	-15.5	3	-15.5	7.75
15544	2021.07.05 04:47:00	2021.07.05 05:01:40	-15.5	0.5	-15.5	7.75
15553	2021.07.06 07:05:40	2021.07.06 08:44:40	-11	13.5	-11	5.5
15557	2021.07.07 03:04:40	2021.07.07 03:15:40	-15.5	0.5	-15.5	7.75
15559	2021.07.07 03:48:40	2021.07.07 17:42:40	-29.5	230	-29.5	14.75
15562	2021.07.07 18:43:40	2021.07.07 23:30:00	-29.5	87	34	47.25
15564	2021.07.08 03:01:40	2021.07.08 03:52:40	-16.5	15.5	-16.5	8.25
15569	2021.07.08 08:26:40	2021.07.08 09:12:40	-25.5	11.5	-25.5	12.75
15572	2021.07.08 18:39:40	2021.07.08 23:30:00	-15.5	195	110.5	80
15575	2021.07.09 03:06:40	2021.07.09 03:24:20	-40.5	16	-40.5	20.25
15579	2021.07.09 05:31:40	2021.07.09 23:30:00	-0.5	346.5	306	18
15581	2021.07.12 02:30:40	2021.07.12 03:07:40	-20	6	-20	10
15591	2021.07.13 02:36:20	2021.07.13 09:05:40	-15.5	18.5	-15.5	7.75
15593	2021.07.13 14:30:40	2021.07.13 14:51:40	-17.5	2.5	-17.5	8.75
15595	2021.07.13 18:19:40	2021.07.13 20:13:40	-60	43.5	-60	30
15600	2021.07.14 04:13:40	2021.07.14 09:10:40	-54	36.5	-54	27
15602	2021.07.14 17:04:40	2021.07.14 18:28:40	-113	9	-113	56.5
15607	2021.07.15 02:02:40	2021.07.15 02:37:40	-12.5	4.5	-12.5	6.25
15610	2021.07.15 05:28:40	2021.07.15 14:20:40	-43.5	132.5	-43.5	21.75
15620	2021.07.16 05:31:20	2021.07.16 18:04:40	-23	244	-23	11.5
15628	2021.07.19 08:06:40	2021.07.19 11:39:40	-41.5	39.5	-41.5	20.75
15632	2021.07.19 18:33:20	2021.07.19 19:42:40	-204.5	2	-204.5	102.25
15635	2021.07.19 20:56:40	2021.07.19 22:35:20	-86.5	41	-86.5	43.25
15637	2021.07.20 03:01:40	2021.07.20 16:14:40	-34	94	-34	17
15639	2021.07.20 17:20:40	2021.07.20 23:30:00	-39	363.5	243.5	84
15641	2021.07.21 02:07:40	2021.07.21 03:03:40	-15	23	-15	7.5
15643	2021.07.21 03:46:40	2021.07.21 04:33:40	-43	0	-43	21.5
15647	2021.07.21 07:04:40	2021.07.21 07:55:40	-19.5	3.5	-19.5	9.75
15649	2021.07.21 08:29:40	2021.07.21 14:25:40	-34	122.5	-34	17
15652	2021.07.21 18:00:40	2021.07.21 23:30:00	-65.5	136	119.5	42.25
15654	2021.07.22 04:15:20	2021.07.22 15:53:40	-14.5	77.5	-14.5	7.25
15658	2021.07.23 03:25:40	2021.07.23 05:43:40	-10	45.5	-10	5
15660	2021.07.23 07:31:40	2021.07.23 16:30:40	-16	84.5	-16	8
15662	2021.07.23 17:16:40	2021.07.23 23:30:00	-20.5	246.5	207	59.75
15670	2021.07.26 14:25:40	2021.07.26 15:38:40	-44	25	-44	22
15672	2021.07.26 17:36:40	2021.07.26 17:46:20	-63	9.5	-63	31.5
15674	2021.07.26 18:56:40	2021.07.26 23:30:00	-76.5	24	-5	39.75
15677	2021.07.27 03:13:40	2021.07.27 03:24:40	-14.5	0	-14.5	7.25
15682	2021.07.27 07:32:40	2021.07.27 08:04:40	-9.5	8	-9.5	4.75
15691	2021.07.28 03:05:40	2021.07.28 05:02:40	-24	62.5	-24	12
15693	2021.07.28 05:39:40	2021.07.28 07:57:40	-62	29.5	-62	31
