Ticket	Entry_time	Exit_time	MAE	MFE	PNL	
695	2022.02.14 14:39:40	2022.02.14 15:00:00	64	294.5	235	53.5
700	2022.02.22 14:14:40	2022.02.22 16:35:20	-127	58.5	-127	63.5
702	2022.02.23 14:25:40	2022.02.23 16:43:40	-113.5	50.5	-113.5	56.75
708	2022.03.03 14:27:20	2022.03.03 16:00:00	-58	226	212.5	53.75
711	2022.03.04 14:46:40	2022.03.04 16:46:40	-135.5	140.5	-135.5	67.75
713	2022.03.09 14:35:40	2022.03.09 16:53:40	-113	182	-113	56.5
716	2022.03.11 14:32:40	2022.03.11 14:55:40	-89.5	14	-89.5	44.75
718	2022.03.14 14:54:40	2022.03.14 15:33:40	-157.5	36.5	-157.5	78.75
720	2022.03.15 14:20:40	2022.03.15 16:00:00	-45	197	145.5	53.75
724	2022.03.18 14:27:40	2022.03.18 14:50:40	-49.5	25.5	-49.5	24.75
729	2022.03.22 14:48:40	2022.03.22 16:00:00	-31	199.5	157.5	27.25
733	2022.03.24 14:50:40	2022.03.24 15:30:40	-63	5	-63	31.5
736	2022.03.29 14:13:40	2022.03.29 14:31:20	-54.5	8	-54.5	27.25
741	2022.04.01 14:57:20	2022.04.01 15:31:40	-37.5	9.5	-37.5	18.75
743	2022.04.04 14:17:40	2022.04.04 14:35:40	-31.5	3.5	-31.5	15.75
747	2022.04.07 14:08:40	2022.04.07 14:09:40	-51.5	42	-51.5	25.75
752	2022.04.12 14:33:40	2022.04.12 16:00:00	-30.5	532	482.5	31.5
754	2022.04.14 14:03:40	2022.04.14 14:54:40	-54.5	31.5	-54.5	27.25
756	2022.04.18 14:00:40	2022.04.18 14:30:00	-2	87.5	58	12.75
758	2022.04.20 14:49:40	2022.04.20 15:00:00	13.5	166.5	151.5	22.5
761	2022.04.25 14:35:40	2022.04.25 17:30:00	-77	291.5	262.5	77.25
768	2022.05.03 14:29:40	2022.05.03 15:30:00	-23.5	115.5	90	34
770	2022.05.05 14:06:40	2022.05.05 14:30:20	-71.5	11.5	-71.5	35.75
775	2022.05.09 14:53:40	2022.05.09 17:29:40	-134.5	284.5	-134.5	67.25
779	2022.05.12 14:00:40	2022.05.12 14:48:40	-116.5	80.5	-116.5	58.25
781	2022.05.13 14:35:40	2022.05.13 15:00:00	-18	92	75.5	25.5
783	2022.05.16 14:05:40	2022.05.16 15:30:00	-35	87.5	80.5	28
789	2022.05.20 14:33:40	2022.05.20 15:48:40	-55.5	67	-55.5	27.75
792	2022.05.24 14:07:40	2022.05.24 15:07:40	-51	62	-51	25.5
798	2022.06.01 14:06:40	2022.06.01 15:00:00	-5	92.5	90	33.25
803	2022.06.06 14:31:40	2022.06.06 14:49:40	-42.5	6.5	-42.5	21.25
809	2022.06.10 14:31:40	2022.06.10 15:30:40	-56.5	56.5	-56.5	28.25
815	2022.06.22 14:02:40	2022.06.22 15:32:40	-46.5	60	-46.5	23.25
820	2022.07.04 14:42:40	2022.07.04 16:41:40	-48	7	-48	24
825	2022.07.07 14:42:40	2022.07.07 17:00:00	-41	238.5	209.5	21.5
828	2022.07.11 14:04:40	2022.07.11 14:40:40	-38	9	-38	19
830	2022.07.12 14:18:40	2022.07.12 15:30:00	4.5	118	83	28.75
832	2022.07.13 14:57:40	2022.07.13 15:30:00	-17.5	280.5	190.5	25.25
836	2022.07.15 14:01:40	2022.07.15 14:58:40	-31.5	26.5	-31.5	15.75
838	2022.07.18 14:09:40	2022.07.18 15:15:40	-26.5	20.5	-26.5	13.25
840	2022.07.19 14:53:20	2022.07.19 15:19:40	-45.5	2.5	-45.5	22.75
845	2022.07.22 14:34:40	2022.07.22 17:00:40	-44	222	-44	22
848	2022.07.26 14:46:20	2022.07.26 15:47:40	-47	20.5	-47	23.5
853	2022.08.05 14:28:40	2022.08.05 15:30:00	-10.5	71.5	57	20.5
855	2022.08.08 14:54:40	2022.08.08 16:02:40	-58.5	52	-58.5	29.25
858	2022.08.10 14:05:40	2022.08.10 16:00:00	-4.5	617	522.5	19.25
861	2022.08.12 14:55:40	2022.08.12 17:00:00	-26	133.5	110.5	27
866	2022.08.18 14:33:40	2022.08.18 16:25:40	-45.5	89.5	-45.5	22.75
869	2022.08.22 14:00:40	2022.08.22 14:26:40	-39	8	-39	19.5
872	2022.08.23 14:48:40	2022.08.23 15:39:40	-43	36.5	-43	21.5
874	2022.08.24 14:12:20	2022.08.24 16:28:40	-50	82.5	-50	25
876	2022.08.26 14:00:40	2022.08.26 14:05:20	-30	2	-30	15
878	2022.08.29 14:59:40	2022.08.29 17:00:00	-41	249.5	106.5	27.25
883	2022.09.02 14:37:40	2022.09.02 15:30:20	-53	59	-53	26.5
892	2022.09.12 14:25:40	2022.09.12 15:15:40	-22.5	38.5	-22.5	11.25
900	2022.09.21 14:45:40	2022.09.21 16:00:00	-0.5	113.5	86	19
905	2022.09.27 14:30:40	2022.09.27 17:00:40	-59	165.5	-59	29.5
914	2022.10.10 14:02:20	2022.10.10 16:00:00	-19	135.5	131.5	26.5
916	2022.10.12 14:00:40	2022.10.12 15:30:40	-52.5	62	-52.5	26.25
920	2022.10.18 14:34:40	2022.10.18 16:30:00	-16.5	160.5	146.5	49.5
925	2022.10.27 14:24:20	2022.10.27 15:15:20	-81.5	2	-81.5	40.75
930	2022.11.03 14:05:40	2022.11.03 14:36:40	-75	11	-75	37.5
932	2022.11.04 14:30:20	2022.11.04 14:30:40	-73	45.5	-73	36.5
938	2022.11.09 14:52:40	2022.11.09 15:21:40	-93	18	-93	46.5
943	2022.11.11 14:57:40	2022.11.11 16:10:40	-67.5	33.5	-67.5	33.75
946	2022.11.16 14:34:40	2022.11.16 15:30:40	-58.5	15	-58.5	29.25
949	2022.11.18 14:03:40	2022.11.18 15:30:00	-7.5	68.5	51	18.5
952	2022.11.22 14:22:40	2022.11.22 16:39:40	-75	78	-75	37.5
954	2022.11.23 14:35:40	2022.11.23 15:21:40	-49.5	16	-49.5	24.75
963	2022.12.08 14:38:40	2022.12.08 15:30:00	-4.5	56.5	46	14.25
967	2022.12.13 14:26:20	2022.12.13 15:30:00	-16	427.5	406.5	15
969	2022.12.16 14:00:40	2022.12.16 15:00:00	-38.5	74.5	73.5	23.5
972	2022.12.19 14:49:40	2022.12.19 15:13:40	-41	4	-41	20.5
975	2022.12.21 14:52:20	2022.12.21 16:34:40	-75.5	47.5	-75.5	37.75
978	2022.12.23 14:20:40	2022.12.23 15:29:40	-47	40.5	-47	23.5
982	2022.12.29 14:08:20	2022.12.29 14:21:40	-34	0	-34	17
994	2023.01.12 14:09:40	2023.01.12 15:00:00	-5	51	50	8.75
998	2023.01.16 14:48:40	2023.01.16 17:00:00	-9.5	80.5	57	15
1000	2023.01.23 14:02:40	2023.01.23 15:30:00	-6.5	107.5	78.5	17.5
1005	2023.02.02 14:31:40	2023.02.02 15:00:00	-1.5	80.5	76	20.75
1008	2023.02.14 14:20:40	2023.02.14 15:07:40	-39.5	17.5	-39.5	19.75
1010	2023.02.15 14:03:40	2023.02.15 15:30:40	-41	76.5	-41	20.5
1016	2023.02.27 14:07:40	2023.02.27 14:54:40	-26	12	-26	13
1021	2023.03.03 14:00:40	2023.03.03 14:17:40	-17	21	-17	8.5
