Date	PNL	MAE	MFE
15.10.2020	5808.0	5808.0	5923.0
16.10.2020	5869.5	5791.0	5894.5
19.10.2020	5877.0	5844.5	5939.0
20.10.2020	5973.0	5861.0	5996.5
21.10.2020	6030.5	5945.0	6145.0
22.10.2020	5945.0	5945.0	6042.0
23.10.2020	5931.5	5877.0	5947.5
26.10.2020	5882.5	5882.5	5976.0
27.10.2020	5998.0	5845.5	6001.5
28.10.2020	5995.0	5963.5	6016.5
29.10.2020	6139.5	5973.0	6149.0
30.10.2020	6054.0	5895.5	6154.5
02.11.2020	6158.5	6036.0	6181.5
03.11.2020	6148.0	6076.5	6206.0
04.11.2020	6205.5	6108.0	6475.5
05.11.2020	6255.0	6081.0	6409.5
06.11.2020	6143.5	6018.5	6263.5
09.11.2020	6235.0	6097.0	6252.5
10.11.2020	6191.5	5970.0	6298.0
11.11.2020	6175.0	6131.5	6330.5
12.11.2020	6168.0	6060.5	6200.0
13.11.2020	6265.5	6157.5	6288.0
16.11.2020	6175.5	6175.5	6274.0
17.11.2020	6156.0	6124.0	6182.0
18.11.2020	6140.0	6123.5	6172.5
19.11.2020	6119.0	6062.5	6158.0
20.11.2020	6190.0	6099.0	6209.5
23.11.2020	6164.5	6164.5	6251.0
24.11.2020	6125.5	6125.5	6205.5
26.11.2020	6095.5	6095.5	6171.5
27.11.2020	6084.0	6051.0	6102.5
30.11.2020	6050.0	6050.0	6113.5
01.12.2020	6059.0	6042.0	6133.5
02.12.2020	6041.0	6041.0	6140.0
03.12.2020	6051.5	6022.0	6099.0
04.12.2020	6092.0	6013.5	6104.5
07.12.2020	6073.0	6041.5	6109.5
08.12.2020	6079.5	6023.0	6089.0
09.12.2020	6020.5	6020.5	6095.0
10.12.2020	5962.0	5962.0	6022.5
11.12.2020	5939.0	5939.0	5977.0
14.12.2020	5902.0	5902.0	5946.0
15.12.2020	5885.5	5828.0	5907.5
16.12.2020	5932.5	5874.0	5938.0
17.12.2020	5964.0	5914.0	5975.5
18.12.2020	6000.0	5940.5	6005.5
22.12.2020	5925.5	5925.5	6013.0
23.12.2020	5970.0	5884.5	5973.5
24.12.2020	5920.5	5920.5	5985.5
28.12.2020	5959.0	5903.5	5963.5
29.12.2020	5951.0	5923.5	5966.0
30.12.2020	6009.0	5948.0	6009.5
31.12.2020	5995.5	5946.0	6009.5
04.01.2021	6068.5	5991.0	6076.5
05.01.2021	6170.0	6047.0	6176.0
06.01.2021	5972.5	5972.5	6239.0
07.01.2021	6118.5	5968.5	6122.5
08.01.2021	6193.0	6111.5	6207.0
11.01.2021	6093.0	6093.0	6201.5
12.01.2021	6147.0	6087.0	6148.0
13.01.2021	6132.5	6128.5	6191.0
14.01.2021	6136.0	6129.0	6210.0
15.01.2021	6119.5	6036.5	6147.0
