Date	Daily_PNL	Daily_MAE	Daily_MFE	Equity_Close	Equity_Peak	Equity_Trough	Trailing_DD	Worst_DD_So_Far
14.01.2022	-355	-413	72.5	13545	14502	13487	-1015	-3276
17.01.2022	54.5	-46.5	101	13599.5	14502	13498.5	-1003.5	-3276
18.01.2022	-107.5	-259	138	13492	14502	13340.5	-1161.5	-3276
19.01.2022	-178	-260.5	134.5	13314	14502	13231.5	-1270.5	-3276
20.01.2022	49.5	-49.5	389.5	13363.5	14502	13264.5	-1237.5	-3276
21.01.2022	-572	-572	80.5	12791.5	14502	12791.5	-1710.5	-3276
23.01.2022	161	-3.5	210.5	12952.5	14502	12788	-1714	-3276
24.01.2022	277.5	-276	289	13230	14502	12676.5	-1825.5	-3276
25.01.2022	211.5	-602	229	13441.5	14502	12628	-1874	-3276
26.01.2022	-190	-190	283.5	13251.5	14502	13251.5	-1250.5	-3276
27.01.2022	206.5	-183	419	13458	14502	13068.5	-1433.5	-3276
28.01.2022	160.5	-191.5	358	13618.5	14502	13266.5	-1235.5	-3276
31.01.2022	-19	-223.5	146.5	13599.5	14502	13395	-1107	-3276
01.02.2022	119	-72.5	269.5	13718.5	14502	13527	-975	-3276
02.02.2022	296	-15	363.5	14014.5	14502	13703.5	-798.5	-3276
03.02.2022	-88.5	-88.5	184.5	13926	14502	13926	-576	-3276
04.02.2022	207.5	-174	229	14133.5	14502	13752	-750	-3276
07.02.2022	322.5	-89.5	324	14456	14502	14044	-458	-3276
08.02.2022	12.5	-209.5	44.5	14468.5	14502	14246.5	-255.5	-3276
09.02.2022	211	-2	280	14679.5	14748.5	14466.5	-282	-3276
10.02.2022	151.5	-69	351	14831	15030.5	14610.5	-420	-3276
11.02.2022	-23	-164.5	257	14808	15088	14666.5	-421.5	-3276
13.02.2022	-149.5	-149.5	74.5	14658.5	15088	14658.5	-429.5	-3276
14.02.2022	-139.5	-177.5	231.5	14519	15088	14481	-607	-3276
15.02.2022	149	-12	397.5	14668	15088	14507	-581	-3276
16.02.2022	11	-254	99	14679	15088	14414	-674	-3276
17.02.2022	19	-22.5	197	14698	15088	14656.5	-431.5	-3276
18.02.2022	113	-158.5	235.5	14811	15088	14539.5	-548.5	-3276
21.02.2022	484.5	-38.5	497	15295.5	15308	14772.5	-535.5	-3276
22.02.2022	447	-77.5	600	15742.5	15895.5	15218	-677.5	-3276
23.02.2022	-268.5	-268.5	151	15474	15895.5	15474	-421.5	-3276
24.02.2022	339	-609.5	398	15813	15895.5	14864.5	-1031	-3276
25.02.2022	447	-84	584	16260	16397	15729	-668	-3276
28.02.2022	137	-14.5	657	16397	16917	16245.5	-671.5	-3276
01.03.2022	-11	-120.5	103.5	16386	16917	16276.5	-640.5	-3276
02.03.2022	543	-108.5	573.5	16929	16959.5	16277.5	-682	-3276
03.03.2022	-314	-314	62.5	16615	16991.5	16615	-376.5	-3276
04.03.2022	-153	-219.5	106	16462	16991.5	16395.5	-596	-3276
07.03.2022	-52	-203	294	16410	16991.5	16259	-732.5	-3276
08.03.2022	-276.5	-368	371.5	16133.5	16991.5	16042	-949.5	-3276
09.03.2022	476.5	-112	532	16610	16991.5	16021.5	-970	-3276
10.03.2022	-167.5	-339.5	3.5	16442.5	16991.5	16270.5	-721	-3276
11.03.2022	211	-104.5	545.5	16653.5	16991.5	16338	-653.5	-3276
13.03.2022	65.5	0	144.5	16719	16991.5	16653.5	-338	-3276
14.03.2022	-622.5	-622.5	45.5	16096.5	16991.5	16096.5	-895	-3276
15.03.2022	-51	-346	100.5	16045.5	16991.5	15750.5	-1241	-3276
16.03.2022	47.5	-377.5	147.5	16093	16991.5	15668	-1323.5	-3276
17.03.2022	347	-165.5	350.5	16440	16991.5	15927.5	-1064	-3276
18.03.2022	356	-65.5	362.5	16796	16991.5	16374.5	-617	-3276
21.03.2022	465	-124	468.5	17261	17264.5	16672	-592.5	-3276
22.03.2022	220.5	-8	350.5	17481.5	17611.5	17253	-358.5	-3276
23.03.2022	-434	-434	2	17047.5	17611.5	17047.5	-564	-3276
24.03.2022	274	-21	323.5	17321.5	17611.5	17026.5	-585	-3276
25.03.2022	60.5	-117	176.5	17382	17611.5	17204.5	-407	-3276
28.03.2022	562.5	-38	616	17944.5	17998	17344	-654	-3276
29.03.2022	296.5	-36.5	330	18241	18274.5	17908	-366.5	-3276
30.03.2022	-383	-383	55	17858	18296	17858	-438	-3276
31.03.2022	-263	-263	100.5	17595	18296	17595	-701	-3276
01.04.2022	110	-63	127	17705	18296	17532	-764	-3276
03.04.2022	-29	-29	3.5	17676	18296	17676	-620	-3276
04.04.2022	543	-17	579	18219	18296	17659	-637	-3276
05.04.2022	-332	-332	27	17887	18296	17887	-409	-3276
06.04.2022	-561	-604.5	142.5	17326	18296	17282.5	-1013.5	-3276
07.04.2022	309.5	-66	477.5	17635.5	18296	17260	-1036	-3276
08.04.2022	-263.5	-263.5	121	17372	18296	17372	-924	-3276
10.04.2022	23.5	0	86	17395.5	18296	17372	-924	-3276
11.04.2022	-167.5	-167.5	17.5	17228	18296	17228	-1068	-3276
12.04.2022	361.5	-70	600.5	17589.5	18296	17158	-1138	-3276
13.04.2022	229.5	-3	233	17819	18296	17586.5	-709.5	-3276
14.04.2022	-262	-336.5	115.5	17557	18296	17482.5	-813.5	-3276
18.04.2022	374	-15.5	459	17931	18296	17541.5	-754.5	-3276
19.04.2022	94	-63.5	134	18025	18296	17867.5	-428.5	-3276
20.04.2022	38.5	-127	383.5	18063.5	18408.5	17898	-510.5	-3276
21.04.2022	243.5	-32	400.5	18307	18464	18031.5	-432.5	-3276
22.04.2022	-230.5	-230.5	89.5	18076.5	18464	18076.5	-387.5	-3276
25.04.2022	60	-336.5	99	18136.5	18464	17740	-724	-3276
26.04.2022	-175	-474.5	8	17961.5	18464	17662	-802	-3276
27.04.2022	-47.5	-174.5	352	17914	18464	17787	-677	-3276
28.04.2022	46	-450	189	17960	18464	17464	-1000	-3276
29.04.2022	-398.5	-398.5	248.5	17561.5	18464	17561.5	-902.5	-3276
02.05.2022	-267	-715	149	17294.5	18464	16846.5	-1617.5	-3276
03.05.2022	-7	-229	149	17287.5	18464	17065.5	-1398.5	-3276
04.05.2022	597.5	-68	609.5	17885	18464	17219.5	-1244.5	-3276
05.05.2022	-82	-290	26.5	17803	18464	17595	-869	-3276
06.05.2022	-128.5	-297.5	169.5	17674.5	18464	17505.5	-958.5	-3276
08.05.2022	-121.5	-121.5	31	17553	18464	17553	-911	-3276
09.05.2022	-375	-375	158	17178	18464	17178	-1286	-3276
10.05.2022	810.5	-30	901.5	17988.5	18464	17148	-1316	-3276
11.05.2022	-147	-147	296	17841.5	18464	17841.5	-622.5	-3276
12.05.2022	-94.5	-742	127	17747	18464	17099.5	-1364.5	-3276
13.05.2022	552	-42.5	559.5	18299	18464	17704.5	-759.5	-3276
15.05.2022	-51.5	-51.5	81.5	18247.5	18464	18247.5	-216.5	-3276
16.05.2022	-226	-415	1.5	18021.5	18464	17832.5	-631.5	-3276
17.05.2022	431	-32.5	504	18452.5	18525.5	17989	-536.5	-3276
18.05.2022	-404.5	-404.5	16.5	18048	18525.5	18048	-477.5	-3276
19.05.2022	-153.5	-271.5	268.5	17894.5	18525.5	17776.5	-749	-3276
20.05.2022	198	-113.5	215.5	18092.5	18525.5	17781	-744.5	-3276
23.05.2022	-77.5	-319.5	88.5	18015	18525.5	17773	-752.5	-3276
24.05.2022	-63.5	-402	38	17951.5	18525.5	17613	-912.5	-3276
25.05.2022	-148.5	-262.5	117.5	17803	18525.5	17689	-836.5	-3276
26.05.2022	491	-32.5	652.5	18294	18525.5	17770.5	-755	-3276
27.05.2022	614.5	-13	616	18908.5	18910	18281	-629	-3276
29.05.2022	110.5	-15	135	19019	19043.5	18893.5	-150	-3276
30.05.2022	-61	-61	96.5	18958	19115.5	18958	-157.5	-3276
31.05.2022	163.5	-91.5	290.5	19121.5	19248.5	18866.5	-382	-3276
01.06.2022	-330.5	-341.5	34	18791	19248.5	18780	-468.5	-3276
02.06.2022	400.5	-4	434.5	19191.5	19248.5	18787	-461.5	-3276
03.06.2022	-249	-327	9.5	18942.5	19248.5	18864.5	-384	-3276
05.06.2022	-63	-63	58.5	18879.5	19248.5	18879.5	-369	-3276
06.06.2022	132	-58.5	206	19011.5	19248.5	18821	-427.5	-3276
07.06.2022	-27.5	-186	83	18984	19248.5	18825.5	-423	-3276
08.06.2022	-260	-282	69.5	18724	19248.5	18702	-546.5	-3276
09.06.2022	-140.5	-140.5	227	18583.5	19248.5	18583.5	-665	-3276
